cadence,one_way_cost_bps,status,cagr,spy_cagr,cagr_spread_vs_spy,benchmark_aligned_months,nav_cagr_full_daily_path,ann_vol_daily,sharpe_rf0_daily,sortino_rf0_daily,max_drawdown,tracking_error_monthly,information_ratio_monthly,annual_turnover_target_convention,weight_change_events_per_year,years,pre2021_cagr,pre2021_spy_cagr,pre2021_spread,post2021_cagr,post2021_spy_cagr,post2021_spread,years_beating_spy_share,ff5_mom_alpha_ann,ff5_mom_alpha_hac_t,invalid_intervals,mean_weighted_price_coverage,best_year_removed_active_cagr,best_year_removed
MONTHLY,0.5,OK,0.23917620734142897,0.1388961367317143,0.10028007060971467,150,0.2421124615883017,0.2177568779450089,1.1072424397919622,1.0551098163584904,-0.30578719329660176,0.1339645600442007,0.6985140266355172,1.8966981320333007,12.010616289198607,12.572210814510608,0.21771038397288422,0.12964170135655273,0.0880686826163315,0.26556535017172567,0.15015678982741765,0.11540856034430802,0.8461538461538461,0.09825657750706097,2.954794072876072,0,1.0,0.08280688027201255,2020
MONTHLY,20.0,OK,0.2301781982080131,0.1388961367317143,0.0912820614762988,150,0.23314474821084574,0.21777583239023887,1.0738026980330342,1.0227499988681252,-0.30661843935363686,0.13397931404356145,0.6431283599758135,1.8966981320333007,12.010616289198607,12.572210814510608,0.20695633454817108,0.12964170135655273,0.07731463319161835,0.2587760527003651,0.15015678982741765,0.10861926287294743,0.8461538461538461,0.09080940206692176,2.726301125772818,0,1.0,0.07418742502633058,2020
MONTHLY,60.0,OK,0.21189632157695026,0.1388961367317143,0.07300018484523596,150,0.21492326221115388,0.21791843861891452,1.0047480994747433,0.9562351473153432,-0.31191871400032456,0.13408258984703553,0.5292665469103764,1.8966981320333007,12.010616289198607,12.572210814510608,0.1851547503253348,0.12964170135655273,0.055513048968782064,0.2449472679985456,0.15015678982741765,0.09479047817112796,0.8461538461538461,0.07553314475381577,2.2573375228302557,0,1.0,0.05667018842680971,2020
MONTHLY,100.0,OK,0.19384834316904764,0.1388961367317143,0.05495220643733334,150,0.19693335313255633,0.21820025232011128,0.9351868090387105,0.8879765451958006,-0.33827359893316655,0.13428382128197458,0.415276848799707,1.8966981320333007,12.010616289198607,12.572210814510608,0.16369610847111793,0.12964170135655273,0.0340544071145652,0.23124932768926643,0.15015678982741765,0.08109253786184878,0.8461538461538461,0.06025688744070978,1.7898750618232748,0,1.0,0.03937108684826396,2020
WEEKLY,0.5,OK,0.23676872907543767,0.1388961367317143,0.09787259234372336,150,0.23965675179461332,0.21381821642440957,1.114295532532867,1.0734887380539149,-0.2792278348925591,0.13893802103235917,0.6528322024804881,4.28905094389858,52.25811193379791,12.572210814510608,0.21380452778114378,0.12964170135655273,0.08416282642459105,0.2650394464501602,0.15015678982741765,0.11488265662274255,0.8461538461538461,0.10396887167712576,2.821705423894999,0,1.0,0.0789571470057655,2020
WEEKLY,20.0,OK,0.21695473295503453,0.1388961367317143,0.07805859622332023,150,0.2192734592999417,0.21387695419194105,1.0363205927873391,0.9969097637352359,-0.2799991187425208,0.13996251429665466,0.5317760698972572,4.28905094389858,52.25811193379791,12.572210814510608,0.18912497449797194,0.12964170135655273,0.05948327314141921,0.2513817932822431,0.15015678982741765,0.10122500345482544,0.7692307692307693,0.08748464657179275,2.345314931181039,0,1.0,0.05980164933771204,2020
WEEKLY,60.0,OK,0.1772531074293333,0.1388961367317143,0.03835697069761901,150,0.17845387133864743,0.21418111963591321,0.8757542822687187,0.8427889061716558,-0.3103654792141134,0.1424468244458991,0.2887925364504638,4.28905094389858,52.25811193379791,12.572210814510608,0.1399934646594505,0.12964170135655273,0.010351763302897776,0.22380715432714116,0.15015678982741765,0.07365036449972351,0.7692307692307693,0.05376600969679367,1.3983011222666035,0,1.0,0.021408672849142496,2020
WEEKLY,100.0,OK,0.13878735994119307,0.1388961367317143,-0.00010877679052123668,150,0.13893479481019444,0.21473128601718675,0.7148235187325773,0.6864070755293676,-0.36358688296237085,0.14540437981439186,0.05481313375972557,4.28905094389858,52.25811193379791,12.572210814510608,0.09280638216865644,0.12964170135655273,-0.03683531918789629,0.19681556051417726,0.15015678982741765,0.04665877068675961,0.6153846153846154,0.020174617987153656,0.5061612345044147,0,1.0,-0.015803257580870422,2020
DAILY,0.5,OK,0.24457458039129443,0.1388961367317143,0.10567844365958012,150,0.24571638437906462,0.2128763079001847,1.1412360109768982,1.0969987288933942,-0.27195880221922675,0.13939676035388282,0.6946689269765675,8.981080764587077,251.5866180313589,12.572210814510608,0.23603629403540816,0.12964170135655273,0.10639459267885543,0.25494923177264517,0.15015678982741765,0.10479244194522752,0.7692307692307693,0.11288145034155625,3.029989992636027,0,1.0,0.0877936355663489,2020
DAILY,20.0,OK,0.20351630953395605,0.1388961367317143,0.06462017280224175,150,0.20301246171417686,0.21274727178759772,0.9774008644665703,0.9380099074017173,-0.2731097054494026,0.13999020925777783,0.4488439174135301,8.981080764587077,251.5866180313589,12.572210814510608,0.17942956640246965,0.12964170135655273,0.049787865045916924,0.2332172478261798,0.15015678982741765,0.08306045799876216,0.7692307692307693,0.07854040010783092,2.077434658338272,0,1.0,0.047426571848996346,2020
DAILY,60.0,OK,0.1234226541217891,0.1388961367317143,-0.015473482609925204,150,0.1198683528655411,0.21276496045465906,0.6399029129734115,0.6131740443803289,-0.34380487366482304,0.14347626215139392,-0.044205792051908464,8.981080764587077,251.5866180313589,12.572210814510608,0.0712020470896848,0.12964170135655273,-0.058439654266867924,0.18979164815449479,0.15015678982741765,0.03963485832707714,0.6153846153846154,0.00868188336781497,0.2155097573903529,0,1.0,-0.031297383475348495,2020
DAILY,100.0,OK,0.04858170443423737,0.1388961367317143,-0.09031443229747693,150,0.04237922830487273,0.21316151853894238,0.3019868462095153,0.2887001160877421,-0.5736444786029363,0.1495285703573721,-0.5000347478857279,8.981080764587077,251.5866180313589,12.572210814510608,-0.027209542550161725,0.12964170135655273,-0.15685124390671445,0.1478721246637995,0.15015678982741765,-0.002284665163618138,0.3076923076923077,-0.060406924277099816,-1.3672836974201195,0,1.0,-0.10483140179759709,2020
