sample,signal_date,ticker,expected_active_per_session,uncertainty_per_session,positive_active_horizon_share,effective_horizon_sessions,expected_active_total,model_target_weight,entry_ok,resize_band,ret_20d,ret_60d,ret_120d,ret_252d,dd_60d,dd_252d,range_position_252d,fwd_return_20d,benchmark_mix_20d,active_20d,fwd_return_60d,benchmark_mix_60d,active_60d,ret_20d_pctile,ret_60d_pctile,ret_120d_pctile,ret_252d_pctile,dd_60d_pctile,dd_252d_pctile,range_position_252d_pctile,reversal_signature_score,reversal_signature_pctile,prev_entry_ok,entry_gate_episode_start,anatomy_class
FINAL_HOLDOUT,2025-04-08,AAPL,0.00011503254167082654,0.0033774887794078634,0.6330210009249259,28.128206269005315,0.0032356590597649583,0.010297012213400038,True,0.006364707791029148,-0.21925373252614933,-0.2712282582238308,-0.25292059470783945,0.02154825508034386,-0.30222581009731686,-0.33360517686285607,0.08671404372056939,0.13820913144754,,,0.2192629271350519,,,0.12857142857142856,0.2,0.32857142857142857,0.6601941747572816,0.3523809523809524,0.3952380952380952,0.4857142857142857,0.6976190476190476,0.7714285714285715,False,True,SHORT_PULLBACK_POSITIVE_1Y
FINAL_HOLDOUT,2026-07-21,ABNB,9.91475916966557e-05,0.0030697591315992393,0.5476374077483214,33.74315070651231,0.003345552128808002,0.009140167135823562,True,0.005464070971795106,0.03527554835826874,0.015718693614432677,0.0898502856839507,0.03416111590876092,-0.03243125501778843,-0.03243125501778843,0.8708214058126653,0.2716862750745521,,,,,,0.5567010309278351,0.5284974093264249,0.5906735751295337,0.40625,0.7635467980295566,0.8522167487684729,0.8374384236453202,0.30628659683298676,0.22167487684729065,False,True,POSITIVE_MOMENTUM
FINAL_HOLDOUT,2026-06-23,ACN,7.825537322231639e-05,0.003717713401303839,0.7804610515088782,35.34700298086249,0.002766092910557724,0.007507028299443633,True,0.005427893091219413,-0.2913970294234386,-0.3478917679410961,-0.5279461359657933,-0.5489094517291356,-0.36379532490926836,-0.5776373713333676,0.012394590862212538,0.11624646854424547,,,,,,0.015151515151515152,0.05555555555555555,0.04040404040404041,0.07106598984771574,0.06565656565656566,0.07575757575757576,0.08080808080808081,0.9431818181818181,0.9747474747474747,False,True,DEEP_REVERSAL_BROKEN_1Y
FINAL_HOLDOUT,2025-01-13,ADSK,0.00013998975491662393,0.002936848711740205,0.8029676315525861,39.34625902783102,0.005508073158192066,0.012519362992584774,True,0.004545823061178821,-0.07363554530693217,-0.005794483379116477,0.16129827001313157,0.19261367803892182,-0.11345591849820114,-0.11345591849820114,0.6996045591764127,0.05231371923785999,,,-0.07474899233706866,,,0.3222748815165877,0.5781990521327014,0.7714285714285715,0.6456310679611651,0.5308056872037915,0.6255924170616114,0.6872037914691943,0.4466824644549763,0.44786729857819907,False,True,MIXED_OTHER
FINAL_HOLDOUT,2025-01-29,ADSK,6.151556550725895e-05,0.0030481222131670607,0.6679133062057157,38.4154708403523,0.0023631494129718877,0.005602207659135696,True,0.004741306350232321,0.022111015729079364,0.05314730875373286,0.2985954787001359,0.20192043554987227,-0.053226184115223396,-0.053226184115223396,0.8590738742209957,-0.07173622106375988,,,-0.11256869264033476,,,0.4523809523809524,0.6,0.7703349282296651,0.5951219512195122,0.5857142857142857,0.6952380952380952,0.7285714285714285,0.38095238095238093,0.3380952380952381,False,True,POSITIVE_MOMENTUM
FINAL_HOLDOUT,2025-02-07,ADSK,0.00017802697005853498,0.0029674787675205215,0.8009812430254749,39.09523400696352,0.006960006053989114,0.01555201671706869,True,0.004468966433773454,0.016128484185474967,-0.014432529445428166,0.2035889285629997,0.18572328121285442,-0.06262643821465463,-0.06262643821465463,0.8341849701300456,-0.1751618830121311,,,-0.07474673652420638,,,0.40476190476190477,0.44285714285714284,0.7129186602870813,0.5853658536585366,0.5380952380952381,0.6857142857142857,0.7238095238095238,0.4357142857142857,0.3976190476190476,False,True,MIXED_OTHER
FINAL_HOLDOUT,2025-02-18,ADSK,8.181278817986315e-05,0.0029820989034655223,0.7846118904081287,39.64642005349212,0.0032435841659262297,0.007249983059358907,True,0.004470352972813099,0.01444498637415581,-0.021155386158264622,0.15827003848890042,0.12774149795589151,-0.07971483869435636,-0.07971483869435636,0.7889402824749772,-0.12078059599799218,,,-0.0004058550892959145,,,0.46190476190476193,0.3476190476190476,0.6507177033492823,0.47804878048780486,0.3952380952380952,0.5761904761904761,0.638095238095238,0.49404761904761907,0.49047619047619045,False,True,MIXED_OTHER
FINAL_HOLDOUT,2025-04-08,ADSK,5.661234085099868e-05,0.003397391049964513,0.7113650602506076,35.74740541448782,0.00202374429986382,0.005067591802326823,True,0.005008134478913988,-0.04787725522585384,-0.1618472645289154,-0.16287547446058082,-0.024107252687947778,-0.2329136447375798,-0.2565754520951329,0.32066923385886914,0.18640089472572585,,,0.3201725104388289,,,0.8142857142857143,0.4666666666666667,0.5142857142857142,0.5922330097087378,0.5523809523809524,0.6,0.6952380952380952,0.35595238095238096,0.3238095238095238,False,True,MIXED_OTHER
FINAL_HOLDOUT,2025-04-17,ADSK,0.00010474827303193481,0.0033231435590439034,0.7268072073211694,35.660522152060004,0.003735378110845341,0.009884070458832389,True,0.005292139197440206,-0.031177678572039014,-0.13926027296856403,-0.09371284567314442,0.13682963098454026,-0.16665591781894973,-0.19236153362067943,0.4906874101027925,0.14880327270943794,,,0.1156203023812461,,,0.7095238095238096,0.48095238095238096,0.49523809523809526,0.6601941747572816,0.6,0.6476190476190476,0.7142857142857143,0.36190476190476184,0.32857142857142857,False,True,MIXED_OTHER
FINAL_HOLDOUT,2025-05-12,ADSK,0.00010961036522883596,0.0033047445634865227,0.5757741273387287,32.242253637553695,0.0035340851970130254,0.010496416205963128,True,0.00594010365954652,0.13445540088488572,-0.03387372613400885,-0.04386102056794239,0.37041372465156375,-0.03387372613400885,-0.08737192320022802,0.768666740944385,0.014802169703956647,,,-0.0007163095631386174,,,0.6028708133971292,0.5263157894736842,0.44976076555023925,0.8349514563106796,0.7942583732057417,0.6889952153110048,0.7368421052631579,0.3612440191387559,0.2966507177033493,False,True,MIXED_OTHER
FINAL_HOLDOUT,2025-05-20,ADSK,0.0001188925965517635,0.003191689884354531,0.5979128131390714,33.28581648425049,0.003957437150158032,0.011618773255836105,True,0.005871867481393676,0.13287883795276767,0.03708892312300738,-0.07915458506987738,0.3421040972996172,-0.0075147287147100394,-0.07915458506987738,0.7904236571347227,-0.0021971129817821566,,,-0.030793623121728397,,,0.5741626794258373,0.69377990430622,0.36363636363636365,0.7961165048543689,0.8325358851674641,0.6746411483253588,0.722488038277512,0.333732057416268,0.2631578947368421,False,True,POSITIVE_MOMENTUM
